Museum,Catalog number,Year,Original year,Latitude,Longitude,PC1,Chroma,Loc_SiteName,Loc_Municipality,Loc_Department,RegMus_ObsAlt,Distance over transect
American Museum of Natural History,408145,1911,1941,4.070205556,-77.21892778,,0.386,"MALAGA, BAHIA DE",Buenaventura,Valle del Cauca,Unknown,8.769
American Museum of Natural History,509629,1911,1895,3.85025,-77.05900,-1.607853327,0.382,"DAGUA, RIO",Dagua/Buenaventura,Valle del Cauca,Unknown,32.634
American Museum of Natural History,108627,1911,1911,3.883333333,-77.06666667,-0.904701828,0.369,BUENAVENTURA,Buenaventura,Valle del Cauca,30,30.525
American Museum of Natural History,107600,1911,1910,3.85,-76.86666667,-0.583168085,0.388,SAN JOSE,Buenaventura,Valle del Cauca,Unknown,50.838
American Museum of Natural History,107598,1911,1910,3.85,-76.86666667,0.467247695,,SAN JOSE,Buenaventura,Valle del Cauca,Unknown,50.838
American Museum of Natural History,107597,1911,1910,3.85,-76.86666667,-1.128639386,0.39,SAN JOSE,Buenaventura,Valle del Cauca,Unknown,50.838
American Museum of Natural History,107599,1911,1910,3.85,-76.86666667,-0.903723849,0.39,SAN JOSE,Buenaventura,Valle del Cauca,Unknown,50.838
American Museum of Natural History,107596,1911,1910,3.85,-76.86666667,-1.447984088,0.413,SAN JOSE,Buenaventura,Valle del Cauca,Unknown,50.838
American Museum of Natural History,509633,1911,1904,3.77179,-76.74407,-1.395147325,0.419,JIMENEZ,Dagua,Valle del Cauca,480,65.49
American Museum of Natural History,509631,1911,1904,3.77179,-76.74407,1.302545337,0.511,JIMENEZ,Dagua,Valle del Cauca,480,65.49
American Museum of Natural History,509632,1911,1904,3.77179,-76.74407,0.703691356,0.478,JIMENEZ,Dagua,Valle del Cauca,480,65.49
American Museum of Natural History,509634,1911,1907,3.77179,-76.74407,,0.364,JIMENEZ,Dagua,Valle del Cauca,870,65.49
American Museum of Natural History,509635,1911,1904,3.77405,-76.74389,-1.856007388,0.41,JUNTAS,Dagua,Valle del Cauca,400,65.49
American Museum of Natural History,510030,1911,1904,3.77405,-76.74389,,0.456,JUNTAS,Dagua,Valle del Cauca,400,65.49
American Museum of Natural History,510031,1911,1904,3.77405,-76.74389,-0.321263429,0.607,JUNTAS,Dagua,Valle del Cauca,400,65.49
